titre,description,genre
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
